source_concept,vocabulary_id,target_concept_id,target_vocabulary_id
U/L,LV_UNITS,8645,UCUM
s,LV_UNITS,8555,UCUM
10^12/L,LV_UNITS,8734,UCUM
10^9/L,LV_UNITS,9444,UCUM
ng/mL,LV_UNITS,8842,UCUM
mL/min/1.73m2,LV_UNITS,720870,UCUM
g/dL,LV_UNITS,8713,UCUM
mg/L,LV_UNITS,8751,UCUM
µmol/L,LV_UNITS,8749,UCUM
mmol/L,LV_UNITS,8753,UCUM
%,LV_UNITS,8554,UCUM
fL,LV_UNITS,8583,UCUM
